id,contract_file,vulnerability,detector,function_name,function_code,dataset
32,0x39755357759ce0d7f32dc8dc45414cca409ae24e,Timestamp-Dependency,timestamp,_sort,"    function _sort(
        uint id, 
        uint pos 
    )
    internal {
        require(isActive(id));
        address buy_gem = address(offers[id].buy_gem);
        address pay_gem = address(offers[id].pay_gem);
        uint prev_id; 
        pos = pos == 0 || offers[pos].pay_gem != pay_gem || offers[pos].buy_gem != buy_gem || !isOfferSorted(pos) ?
            _find(id) :
            _findpos(id, pos);
        if (pos != 0) { 
            prev_id = _rank[pos].prev;
            _rank[pos].prev = id;
            _rank[id].next = pos;
        } else { 
            prev_id = _best[pay_gem][buy_gem];
            _best[pay_gem][buy_gem] = id;
        }
        if (prev_id != 0) { 
            _rank[prev_id].next = id;
            _rank[id].prev = prev_id;
        }
        _span[pay_gem][buy_gem]++;
        LogSortedOffer(id);
    }",smartbugs_wild
33,0x57b116da40f21f91aec57329ecb763d29c1b2355,Re-entrancy,reentrancy-no-eth,migrateV1Upgrades,"    function migrateV1Upgrades(address[] playerToCredit, uint256[] upgradeIds, uint256[] txProof) external {
        require(msg.sender == owner);
        require(!gameStarted); 
        for (uint256 i = 0; i < txProof.length; i++) {
            address player = playerToCredit[i];
            uint256 upgradeId = upgradeIds[i];
            uint256 unitId = schema.upgradeUnitId(upgradeId);
            if (unitId > 0 && !upgradesOwned[player][upgradeId]) { 
                uint256 upgradeClass = schema.upgradeClass(upgradeId);
                uint256 upgradeValue = schema.upgradeValue(upgradeId);
                upgradeUnitMultipliers(player, upgradeClass, unitId, upgradeValue);
                upgradesOwned[player][upgradeId] = true;
                emit UpgradeMigration(player, upgradeId, txProof[i]);
            }
        }
    }",smartbugs_wild
34,0x57b116da40f21f91aec57329ecb763d29c1b2355,Timestamp-Dependency,timestamp,drawRandomItemWinner,"    function drawRandomItemWinner() public {
        require(msg.sender == owner);
        require(itemRaffleEndTime < block.timestamp);
        require(!itemRaffleWinningTicketSelected);
        uint256 seed = itemRaffleTicketsBought + block.timestamp;
        itemRaffleTicketThatWon = addmod(uint256(block.blockhash(block.number - 1)), seed, itemRaffleTicketsBought);
        itemRaffleWinningTicketSelected = true;
    }",smartbugs_wild
35,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,Timestamp-Dependency,timestamp,isTransferAllowed,"    function isTransferAllowed() internal constant returns(bool) {
        if (now > endTime || isReleasedToPublic == true) {
            return true;
        }
        return false;
    }",smartbugs_wild
36,0xf1ca9cb74685755965c7458528a36934df52a3ef,Timestamp-Dependency,timestamp,transfer,"    function transfer(address _to, uint256 _value) public returns(bool success) {
        if (now > upgradeTimestamp) {
            return UpgradedStandardToken(upgradeAddress).transferByLegacy(msg.sender, _to, _value);
        } else {
            return super.transfer(_to, _value);
        }
    }",smartbugs_wild
37,0x7600977eb9effa627d6bd0da2e5be35e11566341,Re-entrancy,reentrancy-unlimited-gas,transferFee,"    function transferFee(uint16 tokenCode, uint64 amountE8, address toAddr) external {
        if (msg.sender != admin) revert();
        if (toAddr == 0) revert();
        if (msg.data.length != 4 + 32 + 32 + 32) revert();
        TokenAccount memory feeAccount = accounts[uint176(tokenCode) << 160];
        uint64 withdrawE8 = feeAccount.pendingWithdrawE8;
        if (amountE8 < withdrawE8) {
            withdrawE8 = amountE8;
        }
        feeAccount.pendingWithdrawE8 -= withdrawE8;
        accounts[uint176(tokenCode) << 160] = feeAccount;
        TokenInfo memory tokenInfo = tokens[tokenCode];
        uint originalAmount = uint(withdrawE8) * uint(tokenInfo.scaleFactor) / 10 ** 8;
        if (tokenCode == 0) { 
            toAddr.transfer(originalAmount);
        } else {
            if (!Token(tokenInfo.tokenAddr).transfer(toAddr, originalAmount)) revert();
        }
        emit TransferFeeEvent(tokenCode, withdrawE8, toAddr);
    }",smartbugs_wild
38,0x7600977eb9effa627d6bd0da2e5be35e11566341,Re-entrancy,reentrancy-benign,depositToken,"    function depositToken(address traderAddr, uint16 tokenCode, uint originalAmount) external {
        if (marketStatus != ACTIVE) revert();
        if (traderAddr == 0) revert();
        if (tokenCode == 0) revert(); 
        if (msg.data.length != 4 + 32 + 32 + 32) revert(); 
        TokenInfo memory tokenInfo = tokens[tokenCode];
        if (originalAmount < tokenInfo.minDeposit) revert();
        if (tokenInfo.scaleFactor == 0) revert(); 
        if (!Token(tokenInfo.tokenAddr).transferFrom(msg.sender, this, originalAmount)) revert();
        if (originalAmount > MAX_UINT256 / 10 ** 8) revert(); 
        uint amountE8 = originalAmount * 10 ** 8 / uint(tokenInfo.scaleFactor);
        if (amountE8 >= 2 ** 64 || amountE8 == 0) revert();
        uint64 depositIndex = ++lastDepositIndex;
        setDeposits(depositIndex, traderAddr, tokenCode, uint64(amountE8));
        emit DepositEvent(traderAddr, tokenCode, tokens[tokenCode].symbol, uint64(amountE8), depositIndex);
    }",smartbugs_wild
39,0xd97e471695f73d8186deabc1ab5b8765e667cd96,Timestamp-Dependency,timestamp,depositToMiningBalance,"    function depositToMiningBalance(uint _amount) public {
        require(balances[msg.sender] >= _amount, ""not enough tokens"");
        require(getCurrentDayDeposited().add(_amount) <= DAY_MINING_DEPOSIT_LIMIT,
            ""Day mining deposit exceeded"");
        require(miningTotalDeposited.add(_amount) <= TOTAL_MINING_DEPOSIT_LIMIT,
            ""Total mining deposit exceeded"");
        balances[msg.sender] = balances[msg.sender].sub(_amount);
        miningBalances[msg.sender] = miningBalances[msg.sender].add(_amount);
        miningTotalDeposited = miningTotalDeposited.add(_amount);
        updateCurrentDayDeposited(_amount);
        lastMiningBalanceUpdateTime[msg.sender] = now;
        emit MiningBalanceUpdated(msg.sender, _amount, true);
    }",smartbugs_wild
40,0xd97e471695f73d8186deabc1ab5b8765e667cd96,Timestamp-Dependency,timestamp,getCurrentDayDeposited,"    function getCurrentDayDeposited() public view returns(uint) {
        if (now / 1 days == currentDay) {
            return currentDayDeposited;
        } else {
            return 0;
        }
    }",smartbugs_wild
41,0xd97e471695f73d8186deabc1ab5b8765e667cd96,Timestamp-Dependency,timestamp,updateCurrentDayDeposited,"    function updateCurrentDayDeposited(uint _addedTokens) private {
        if (now / 1 days == currentDay) {
            currentDayDeposited = currentDayDeposited.add(_addedTokens);
        } else {
            currentDay = now / 1 days;
            currentDayDeposited = _addedTokens;
        }
    }",smartbugs_wild
42,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,Re-entrancy,reentrancy-benign,setName,"    function setName(bytes32 name_) public auth {
        name = name_;
    }",smartbugs_wild
43,0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6,Re-entrancy,reentrancy-unlimited-gas,sellDentacoinsAgainstEther,"    function sellDentacoinsAgainstEther(uint256 amount) returns(uint revenue) {
        if (sellPriceEth == 0 || amount < DCNForGas) throw; 
        if (balances[msg.sender] < amount) throw; 
        revenue = safeMul(amount, sellPriceEth); 
        if (safeSub(this.balance, revenue) < gasReserve) throw; 
        if (!msg.sender.send(revenue)) { 
            throw; 
        } else {
            balances[this] = safeAdd(balances[this], amount); 
            balances[msg.sender] = safeSub(balances[msg.sender], amount); 
            Transfer(this, msg.sender, revenue); 
            return revenue; 
        }
    }",smartbugs_wild
44,0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6,Re-entrancy,reentrancy-unlimited-gas,refundToOwner,"    function refundToOwner(uint256 amountOfEth, uint256 dcn) onlyOwner {
        uint256 eth = safeMul(amountOfEth, 1 ether);
        if (!msg.sender.send(eth)) { 
            throw; 
        } else {
            Transfer(this, msg.sender, eth); 
        }
        if (balances[this] < dcn) throw; 
        balances[msg.sender] = safeAdd(balances[msg.sender], dcn); 
        balances[this] = safeSub(balances[this], dcn); 
        Transfer(this, msg.sender, dcn); 
    }",smartbugs_wild
45,0x007ac2f589eb9d4fe1cea9f46b5f4f52dab73dd4,Timestamp-Dependency,timestamp,approve,"    function approve(address _spender, uint256 _value) validAddress public returns(bool success) {
        require(canTransferBalance(msg.sender) >= _value);
        allowance[msg.sender][_spender] = _value;
        emit Approval(msg.sender, _spender, _value);
        return true;
    }",smartbugs_wild
46,0x867ffb5a3871b500f65bdfafe0136f9667deae06,Timestamp-Dependency,timestamp,doSellerRequestCancel,"    function doSellerRequestCancel(
        bytes16 _tradeID,
        address _seller,
        address _buyer,
        uint256 _value,
        uint16 _fee,
        uint128 _additionalGas
    ) private returns(bool) {
        Escrow memory _escrow;
        bytes32 _tradeHash;
        (_escrow, _tradeHash) = getEscrowAndHash(_tradeID, _seller, _buyer, _value, _fee);
        if (!_escrow.exists) {
            return false;
        }
        if (_escrow.sellerCanCancelAfter != 1) {
            return false;
        }
        escrows[_tradeHash].sellerCanCancelAfter = uint32(block.timestamp) +
            requestCancellationMinimumTime;
        emit SellerRequestedCancel(_tradeHash);
        if (msg.sender == relayer) {
            increaseGasSpent(_tradeHash, GAS_doSellerRequestCancel + _additionalGas);
        }
        return true;
    }",smartbugs_wild
47,0xe7d7b37e72510309db27c460378f957b1b04bd5d,Timestamp-Dependency,timestamp,DailyMint,"    function DailyMint() public {
        uint256 day = (now - startTime) / (60 * 60 * 24);
        require(startTime <= now);
        require(day >= _lastDayPaid);
        uint256 month = _lastDayPaid / 30;
        if (month > _currentMonth) {
            _currentMonth += 1;
            factor = (factor * 99) / 100;
        }
        uint256 todaysPayout = (((factor * startAmt) / 10000000) / 30) * (10 ** decimals);
        balances[this] += todaysPayout;
        currentSupply += todaysPayout;
        emit Transfer(address(0), this, todaysPayout);
        emit DayMinted(_lastDayPaid, todaysPayout, now);
        _lastDayPaid += 1;
    }",smartbugs_wild
48,0x27695e09149adc738a978e9a678f99e4c39e9eb9,Timestamp-Dependency,timestamp,receiveDividends,"    function receiveDividends() public {
        require(now >= dividends[currentDividendIndex].time);
        assert(_addDividendsForAddress(msg.sender));
    }",smartbugs_wild
49,0x27695e09149adc738a978e9a678f99e4c39e9eb9,Timestamp-Dependency,timestamp,transferFrom,"    function transferFrom(address _from, address _to, uint256 _value) transfersAllowed returns(bool success) {
        _checkMyAging(_from);
        if (currentDividendIndex < dividends.length && now >= dividends[currentDividendIndex].time) {
            _addDividendsForAddress(_from);
            _addDividendsForAddress(_to);
        }
        require(accountBalance(_from) >= _value);
        require(_value <= allowed[_from][msg.sender]);
        balances[_from] = safeSub(balances[_from], _value);
        balances[_to] = safeAdd(balances[_to], _value);
        allowed[_from][msg.sender] = safeSub(allowed[_from][msg.sender], _value);
        if (agingTimesForPools[_from] > 0 && agingTimesForPools[_from] > now) {
            _addToAging(_from, _to, agingTimesForPools[_from], _value);
        }
        _addIndex(_to);
        Transfer(_from, _to, _value);
        return true;
    }",smartbugs_wild
50,0x27695e09149adc738a978e9a678f99e4c39e9eb9,Timestamp-Dependency,timestamp,mintToken,"    function mintToken(address target, uint256 mintedAmount, uint256 agingTime) onlyOwner {
        if (agingTime > now) {
            _addToAging(owner, target, agingTime, mintedAmount);
        }
        balances[target] = safeAdd(balances[target], mintedAmount);
        _totalSupply = safeAdd(_totalSupply, mintedAmount);
        Issuance(mintedAmount);
        _addIndex(target);
        Transfer(this, target, mintedAmount);
    }",smartbugs_wild
51,0x4b5bc97407898339eca79b541cee9b8b79ccda40,Timestamp-Dependency,timestamp,withdrawToTeamStep2,"    function withdrawToTeamStep2(uint256 _amount) public onlyOwner {
        require(block.timestamp >= TIMESTAMP_OF_20191101000001);
        require(transfer(ownerWallet, _amount));
        emit TransferLog(owner, ownerWallet, bytes32(""withdrawToTeamStep2""), _amount);
        totalTeamReleased2 = totalTeamReleased2.add(_amount);
    }",smartbugs_wild
52,0x0777f76d195795268388789343068e4fcd286919,Re-entrancy,reentrancy-no-eth,claim,"    function claim(uint id) public {
        Purchase storage p = purchases[id];
        require(canClaim);
        uint16 proto;
        uint16 purity;
        uint16 count = p.count;
        uint result = p.randomness;
        uint8 size = packSize();
        address user = p.user;
        uint16 current = p.current;
        require(result != 0); 
        require(count > 0);
        uint[] memory ids = new uint[](size);
        uint16 end = current + packsPerClaim() > count ? count : current + packsPerClaim();
        require(end > current);
        for (uint16 i = current; i < end; i++) {
            for (uint8 j = 0; j < size; j++) {
                (proto, purity) = getCardDetails(i, j, result);
                ids[j] = migration.createCard(user, proto, purity);
            }
            emit PackOpened(id, (i * size), user, ids);
        }
        p.current += (end - current);
    }",smartbugs_wild
53,0x358d12436080a01a16f711014610f8a4c2c2d233,Timestamp-Dependency,timestamp,recycleUnreceivedBonus,"    function recycleUnreceivedBonus(address _address) onlyOwner {
        tryNextTimeRange();
        require(currentTimeIndex > 34);
        uint64 _now = uint64(now);
        uint64 maxTime = bonusTimeList[currentTimeIndex];
        uint256 bonusToken = 0;
        uint64 finalTime = 180 days + maxTime;
        if (_now > finalTime) {
            bonusToken = totalSupplyBonus;
            totalSupplyBonus = 0;
        }
        require(bonusToken != 0);
        this.transfer(_address, bonusToken);
    }",smartbugs_wild
54,0xcde3ef6cacf84ad36d8a6eccc964f25351296d36,Timestamp-Dependency,timestamp,AdminSupply,"    function AdminSupply() public returns(bool success) {
        if (now < _AdminSupplyEnd) {
            balances[msg.sender] += _adminsupply;
            _currentMined += _adminsupply;
            _totalSupply += _adminsupply;
            Transfer(this, msg.sender, _adminsupply);
            return true;
        }
        return false;
    }",smartbugs_wild
55,0x960b236a07cf122663c4303350609a66a7b288c0,Timestamp-Dependency,timestamp,calculateVestedTokens,"    function calculateVestedTokens(
        uint256 tokens,
        uint256 time,
        uint256 start,
        uint256 cliff,
        uint256 vesting) internal constant returns(uint256) {
        if (time < cliff) return 0;
        if (time >= vesting) return tokens;
        uint256 vestedTokens = safeDiv(
            safeMul(
                tokens,
                safeSub(time, start)
            ),
            safeSub(vesting, start)
        );
        return vestedTokens;
    }",smartbugs_wild
